Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,MEASURE error,Operational
41,173.34020476715662,26.836012204756052,0.021240234375,0.041015625,0.00146484375,2584.0,0.0007315131122318782,36.0,0.0007315131122318782,0.0,0.0007315131122318782,0.0007315131122318782,0.0089111328125,Yes
42,262.29817387302666,81.42512172958172,0.012939453125,0.01904296875,0.0068359375,2584.0,0.0003379873845543805,36.0,0.0003379873845543805,0.0,0.0003379873845543805,0.0003379873845543805,0.005126953125,Yes
43,271.0368134911444,89.15339629291938,0.02294921875,0.0244140625,0.021484375,2584.0,0.000270444917948726,36.0,0.000270444917948726,0.0,0.000270444917948726,0.000270444917948726,0.0069580078125,Yes
44,136.674920078842,147.24206762090273,0.0091552734375,0.03515625,0.004638671875,2584.0,0.000545611657171757,36.0,0.000545611657171757,0.0,0.000545611657171757,0.000545611657171757,0.0098876953125,Yes
45,83.03080732922294,92.51957438767532,0.0069580078125,0.011474609375,0.00244140625,2584.0,0.00034655192058130645,36.0,0.00034655192058130645,0.0,0.00034655192058130645,0.00034655192058130645,0.0096435546875,Yes
46,313.24482380011113,15.30944445787877,0.015869140625,0.0263671875,0.00537109375,2584.0,0.0006117290631598324,36.0,0.0006117290631598324,0.0,0.0006117290631598324,0.0006117290631598324,0.012939453125,Yes
47,179.54346702266542,107.89845504148296,0.158203125,0.093505859375,0.222900390625,2584.0,0.0006179302191584621,36.0,0.0006179302191584621,0.0,0.0006179302191584621,0.0006179302191584621,0.0374755859375,Yes
48,286.20706042685003,114.58660423242398,0.081298828125,0.115234375,0.04736328125,2584.0,0.00302665443954358,36.0,0.00302665443954358,0.0,0.00302665443954358,0.00302665443954358,0.060791015625,Yes
49,282.0235002630945,224.60403099546937,0.0404052734375,0.0732421875,0.007568359375,2584.0,0.0004113382797970676,36.0,0.0004113382797970676,0.0,0.0004113382797970676,0.0004113382797970676,0.0194091796875,Yes
50,206.64624839847204,185.82147033470451,0.0201416015625,0.033935546875,0.00634765625,2584.0,0.00022243609536571113,36.0,0.00022243609536571113,0.0,0.00022243609536571113,0.00022243609536571113,0.0145263671875,Yes
51,191.97784949385294,250.26387644283474,0.0726318359375,0.10546875,0.039794921875,2584.0,0.00025013106369679264,36.0,0.00025013106369679264,0.0,0.00025013106369679264,0.00025013106369679264,0.119140625,Yes
52,160.9311951614889,193.31143587170897,0.0111083984375,0.0146484375,0.007568359375,2584.0,0.0005145457415579901,36.0,0.0005145457415579901,0.0,0.0005145457415579901,0.0005145457415579901,0.0164794921875,Yes
53,294.3108733239222,360.1548191488407,0.02294921875,0.02001953125,0.02587890625,2584.0,0.00014399295064078008,36.0,0.00014399295064078008,0.0,0.00014399295064078008,0.00014399295064078008,0.0810546875,Yes
54,231.0414717611648,295.44929073546143,0.0050048828125,0.007568359375,0.00244140625,2584.0,0.00013561430831538903,36.0,0.00013561430831538903,0.0,0.00013561430831538903,0.00013561430831538903,0.0054931640625,Yes
55,234.2219881180673,85.10478206137012,0.017822265625,0.021240234375,0.014404296875,2584.0,0.00020032406824026434,36.0,0.00020032406824026434,0.0,0.00020032406824026434,0.00020032406824026434,0.04345703125,Yes
56,273.82886371139375,143.27984914757374,0.00927734375,0.01318359375,0.00537109375,2584.0,0.000263416039895196,36.0,0.000263416039895196,0.0,0.000263416039895196,0.000263416039895196,0.018798828125,Yes
57,237.37759736665728,170.09010909794247,0.0093994140625,0.013671875,0.005126953125,2584.0,0.0002957223247631161,36.0,0.0002957223247631161,0.0,0.0002957223247631161,0.0002957223247631161,0.0482177734375,Yes
58,233.8612226275754,235.151948266812,0.026123046875,0.033203125,0.01904296875,2584.0,0.0002333923297492462,36.0,0.0002333923297492462,0.0,0.0002333923297492462,0.0002333923297492462,0.02587890625,Yes
59,129.71461386423218,169.1519192134506,0.0113525390625,0.017822265625,0.0048828125,2584.0,0.00024759434942930967,36.0,0.00024759434942930967,0.0,0.00024759434942930967,0.00024759434942930967,0.0274658203125,Yes
60,214.4905399565074,187.21562213594973,0.135986328125,0.094482421875,0.177490234375,2584.0,0.00043792350770641353,36.0,0.00043792350770641353,0.0,0.00043792350770641353,0.00043792350770641353,0.015380859375,Yes
61,303.06861148229217,68.76916816125468,0.0120849609375,0.025390625,0.005126953125,2584.0,0.0001631485868346071,36.0,0.0001631485868346071,0.0,0.0001631485868346071,0.0001631485868346071,0.0250244140625,Yes
62,106.03407904868216,51.93575310216733,0.4818115234375,0.9560546875,0.007568359375,2584.0,0.000578871373897386,36.0,0.000578871373897386,0.0,0.000578871373897386,0.000578871373897386,0.0108642578125,Yes
