Qubit 1,Qubit 2,CZ error,Gate length (ns),RZZ error,Operational
68,69,0.003388396105664798,68.0,0.0027636215235709582,Yes
69,68,0.003388396105664798,68.0,0.0027636215235709582,Yes
69,70,0.0025693371253944775,80.0,0.0019047488418424685,Yes
69,78,0.002048563330446118,68.0,0.0021009036985805696,Yes
70,69,0.0025693371253944775,80.0,0.0019047488418424685,Yes
70,71,0.0023158993720875654,68.0,0.0019747065148191245,Yes
71,58,0.002246960475485421,68.0,0.003154054775002413,Yes
71,70,0.0023158993720875654,68.0,0.0019747065148191245,Yes
71,72,0.005026459029965125,68.0,0.005105950307902257,Yes
72,71,0.005026459029965125,68.0,0.005105950307902257,Yes
72,73,0.0036807706688271324,68.0,0.0057542991621693795,Yes
73,72,0.0036807706688271324,68.0,0.0057542991621693795,Yes
73,74,0.003838142479395512,68.0,0.002751159130364389,Yes
73,79,0.0018236697291248438,68.0,0.0024817156492875636,Yes
74,73,0.003838142479395512,68.0,0.002751159130364389,Yes
74,75,0.0027223781900090893,68.0,0.0016012127388898845,Yes
75,59,0.0016888384733612094,68.0,0.0014712923948782541,Yes
75,74,0.0027223781900090893,68.0,0.0016012127388898845,Yes
76,61,0.0036954715036237873,68.0,0.0033769115115058757,Yes
76,81,0.004207283647558957,68.0,0.0073121907345070625,Yes
77,65,0.0030710569794710763,68.0,0.0019424215951182322,Yes
77,85,0.0031539674354693903,68.0,0.0018900838778937723,Yes
78,69,0.002048563330446118,68.0,0.0021009036985805696,Yes
78,89,0.001969308548018578,68.0,0.0027818870833250797,Yes
79,73,0.0018236697291248438,68.0,0.0024817156492875636,Yes
79,93,0.002950921805833173,68.0,0.0020168794935137013,Yes
80,81,0.004287034994091665,68.0,0.005189752987050433,Yes
81,76,0.004207283647558957,68.0,0.0073121907345070625,Yes
81,80,0.004287034994091665,68.0,0.005189752987050433,Yes
81,82,1.0,68.0,0.1858529896831499,Yes
82,81,1.0,68.0,0.1858529896831499,Yes
82,83,1.0,68.0,1.0,Yes
83,82,1.0,68.0,1.0,Yes
83,84,0.0049633672631357595,68.0,0.004166473054555392,Yes
83,96,0.006823899385158233,68.0,0.007525575691790409,Yes
84,83,0.0049633672631357595,68.0,0.004166473054555392,Yes
84,85,0.003711290313492127,68.0,0.0023033304242638664,Yes
85,77,0.0031539674354693903,68.0,0.0018900838778937723,Yes
85,84,0.003711290313492127,68.0,0.0023033304242638664,Yes
85,86,0.0038390238217439476,68.0,0.01020745056073799,Yes
86,85,0.0038390238217439476,68.0,0.01020745056073799,Yes
86,87,0.0027501688258661505,68.0,0.011852707953671493,Yes
87,86,0.0027501688258661505,68.0,0.011852707953671493,Yes
87,88,0.0015462660461703637,68.0,0.002303501568559768,Yes
87,97,0.001808398615558815,68.0,0.0021696046983942785,Yes
88,87,0.0015462660461703637,68.0,0.002303501568559768,Yes
88,89,0.0013028691156110328,68.0,0.0028927666961710286,Yes
89,78,0.001969308548018578,68.0,0.0027818870833250797,Yes
89,88,0.0013028691156110328,68.0,0.0028927666961710286,Yes
89,90,0.0032929421479265253,68.0,0.003488536743055104,Yes
90,89,0.0032929421479265253,68.0,0.003488536743055104,Yes
90,91,0.0028339311787443366,80.0,0.00295455172122136,Yes
91,90,0.0028339311787443366,80.0,0.00295455172122136,Yes
91,92,0.0017983147183062709,68.0,0.0022647231763975595,Yes
91,98,0.0016855642113472735,68.0,0.0013291482504744767,Yes
92,91,0.0017983147183062709,68.0,0.0022647231763975595,Yes
92,93,0.003788765972555286,68.0,0.0020600825047126514,Yes
93,79,0.002950921805833173,68.0,0.0020168794935137013,Yes
93,92,0.003788765972555286,68.0,0.0020600825047126514,Yes
93,94,0.0017237270987225106,68.0,0.0015176997292360994,Yes
94,93,0.0017237270987225106,68.0,0.0015176997292360994,Yes
94,95,0.011165822717325385,68.0,0.00594273264747508,Yes
95,94,0.011165822717325385,68.0,0.00594273264747508,Yes
