"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"61","383.8110425884054","241.66622192281906","0.0096435546875","0.02001953125","0.00537109375","2584","0.0001631485868346071","36","0.0001631485868346071","0","0.0001631485868346071","0.0001631485868346071","76:0.0036954715036237873;60:0.007511442931324747","76:68;60:80;62:68","76:0.0033769115115058757","0.0096435546875","Yes"
"62","114.01193084417544","58.59361016562453","0.00927734375","0.013671875","0.0048828125","2584","0.000578871373897386","36","0.000578871373897386","0","0.000578871373897386","0.000578871373897386","63:0.0036555222097552353","61:68;63:68","63:0.002155113239992762","0.00927734375","Yes"
"63","141.5771131961898","92.62663523865659","0.0390625","0.033447265625","0.044677734375","2584","0.0002522396674033952","36","0.0002522396674033952","0","0.0002522396674033952","0.0002522396674033952","56:0.0030965716573753688;62:0.0036555222097552353;64:0.003190833865219872","56:68;62:68;64:68","56:0.003063359163331225;62:0.002155113239992762;64:0.0018967441376830374","0.0390625","Yes"
"64","202.46551190636353","106.54697143774138","0.020263671875","0.03564453125","0.0048828125","2584","0.0005334049584798636","36","0.0005334049584798636","0","0.0005334049584798636","0.0005334049584798636","65:0.002824468161511856;63:0.003190833865219872","65:68;63:68","65:0.0019660107608091837;63:0.0018967441376830374","0.020263671875","Yes"
"65","315.60986163210214","63.16394616623713","0.0184326171875","0.02099609375","0.015869140625","2584","0.0003614655981570253","36","0.0003614655981570253","0","0.0003614655981570253","0.0003614655981570253","64:0.002824468161511856;66:0.0022510113811280985;77:0.0030710569794710763","64:68;66:68;77:68","64:0.0019660107608091837;66:0.003524282178792554;77:0.0019424215951182322","0.0184326171875","Yes"
"66","134.2456365367889","79.77135824466397","0.0115966796875","0.021240234375","0.001953125","2584","0.000277615078832008","36","0.000277615078832008","0","0.000277615078832008","0.000277615078832008","65:0.0022510113811280985;67:0.001837020918112886","65:68;67:68","65:0.003524282178792554;67:0.0037245460289654087","0.0115966796875","Yes"
"67","284.00906094783943","108.44433393522992","0.0169677734375","0.016357421875","0.017578125","2584","0.0003975034189755307","36","0.0003975034189755307","0","0.0003975034189755307","0.0003975034189755307","68:0.003009405243675961;57:0.0021606404610081398;66:0.001837020918112886","68:68;57:68;66:68","68:0.003284135435190544;57:0.0017897835427724273;66:0.0037245460289654087","0.0169677734375","Yes"
"68","135.5352266998812","27.420120835321836","0.0106201171875","0.014892578125","0.00634765625","2584","0.0007710385252063154","36","0.0007710385252063154","0","0.0007710385252063154","0.0007710385252063154","67:0.003009405243675961;69:0.003388396105664798","67:68;69:68","67:0.003284135435190544;69:0.0027636215235709582","0.0106201171875","Yes"
"69","171.852575205004","61.20522514237769","0.0306396484375","0.04345703125","0.017822265625","2584","0.00022603571694379153","36","0.00022603571694379153","0","0.00022603571694379153","0.00022603571694379153","78:0.002048563330446118;68:0.003388396105664798;70:0.0025693371253944775","78:68;68:68;70:80","78:0.0021009036985805696;68:0.0027636215235709582;70:0.0019047488418424685","0.0306396484375","Yes"
"70","153.91990570385678","21.2795123537012","0.007568359375","0.011962890625","0.003173828125","2584","0.00027603954043659804","36","0.00027603954043659804","0","0.00027603954043659804","0.00027603954043659804","69:0.0025693371253944775;71:0.0023158993720875654","69:80;71:68","69:0.0019047488418424685;71:0.0019747065148191245","0.007568359375","Yes"
