q,node,k_subsets,mean_score,propagated_error,lower_bound,margin,successful_subsets,total_subsets,success_fraction,T1,T2,Prob meas0 prep1,Prob meas1 prep0,readout_length,id_error,single_qubit_gate_length,x_error,rz_error,sx_error,pauli_x_error,measure_error,operational
3,24,5,0.6920000000000001,0.0206420008720084,0.6531930383606241,-0.0134736283060424,0,5,0.0,161.1878410905439,20.4529255034264,0.013916015625,0.000244140625,2584.0,0.0005867941980953,36.0,0.0005867941980953,0.0,0.0005867941980953,0.0005867941980953,0.02734375,Yes
3,25,6,0.6770833333333334,0.0190826745883391,0.6412079051072558,-0.0254587615594108,0,6,0.0,115.395806990796,54.66827614358561,0.021484375,0.00830078125,2584.0,0.0005594839399239,36.0,0.0005594839399239,0.0,0.0005594839399239,0.0005594839399239,0.0247802734375,Yes
3,26,5,0.6740800000000001,0.0209565838819211,0.6346816223019883,-0.0319850443646783,0,5,0.0,4.283938833110861,8.05513472874944,0.0771484375,0.001953125,2584.0,0.0028622693930206,36.0,0.0028622693930206,0.0,0.0028622693930206,0.0028622693930206,0.0562744140625,Yes
3,27,6,0.6882666666666667,0.0189008863695741,0.6527330002918672,-0.0139336663747994,0,6,0.0,99.06158861497836,126.218682700393,0.013671875,0.052490234375,2584.0,0.0003166906846341,36.0,0.0003166906846341,0.0,0.0003166906846341,0.0003166906846341,0.0482177734375,Yes
3,28,5,0.69514,0.0205857374898253,0.6564388135191284,-0.0102278531475382,0,5,0.0,399.1727498148285,340.958223238561,0.025634765625,0.007568359375,2584.0,0.0003987657792298,36.0,0.0003987657792298,0.0,0.0003987657792298,0.0003987657792298,0.0113525390625,Yes
3,29,6,0.6924333333333332,0.0188339628213383,0.6570254832292172,-0.0096411834374494,0,6,0.0,80.02462915052065,70.62798601806965,0.201416015625,0.000732421875,2584.0,0.000529329348682,36.0,0.000529329348682,0.0,0.000529329348682,0.000529329348682,0.0272216796875,Yes
3,30,5,0.68242,0.0208122810859357,0.6432929115584408,-0.0233737551082258,0,5,0.0,169.43860864765375,51.27938614546395,0.017822265625,0.010986328125,2584.0,0.0005561827488196,36.0,0.0005561827488196,0.0,0.0005561827488196,0.0005561827488196,0.027587890625,Yes
3,31,6,0.6728833333333334,0.0191516318567838,0.6368782654425799,-0.0297884012240867,0,6,0.0,173.34483619431657,68.46352558930029,0.018310546875,0.02099609375,2584.0,0.0002042094795009,36.0,0.0002042094795009,0.0,0.0002042094795009,0.0002042094795009,0.012939453125,Yes
3,32,5,0.6852,0.0207630369647602,0.6461654905062508,-0.0205011761604158,0,5,0.0,338.3051127688452,47.986131761736615,0.010498046875,0.002685546875,2584.0,0.0006041113698438,36.0,0.0006041113698438,0.0,0.0006041113698438,0.0006041113698438,0.0087890625,Yes
3,33,6,0.6836833333333333,0.0189559405083354,0.6480461651776626,-0.018620501489004,0,6,0.0,162.7472072134357,150.24820269739425,0.020751953125,0.0009765625,2584.0,0.0002516957750497,36.0,0.0002516957750497,0.0,0.0002516957750497,0.0002516957750497,0.006591796875,Yes
3,34,4,0.702825,0.0228497345444098,0.6598674990565094,-0.0067991676101571,0,4,0.0,142.72136612204673,117.434199452566,0.00634765625,0.000732421875,2584.0,0.0004564709336971,36.0,0.0004564709336971,0.0,0.0004564709336971,0.0004564709336971,0.024169921875,Yes
3,35,3,0.7069333333333333,0.0262790905474295,0.6575286431041658,-0.0091380235625008,0,3,0.0,488.62875224199047,525.9771655561138,0.00537109375,0.018798828125,2584.0,0.0001679257018076,36.0,0.0001679257018076,0.0,0.0001679257018076,0.0001679257018076,0.01025390625,Yes
3,36,5,0.6518200000000001,0.021198600236808,0.6119666315548009,-0.0547000351118657,0,5,0.0,246.57210489891668,88.68610904877406,0.017822265625,0.00244140625,2584.0,0.003696165790365,36.0,0.003696165790365,0.0,0.003696165790365,0.003696165790365,0.1162109375,Yes
3,37,5,0.6794200000000001,0.0208682228280225,0.6401877410833179,-0.0264789255833487,0,5,0.0,117.9619015900736,29.39915408492174,0.014892578125,0.00341796875,2584.0,0.0011139888608211,36.0,0.0011139888608211,0.0,0.0011139888608211,0.0011139888608211,0.017333984375,Yes
3,38,5,0.6912,0.0206528403857677,0.6523726600747567,-0.0142940065919099,0,5,0.0,100.0253787112666,84.55069108733363,0.01611328125,0.018310546875,2584.0,0.0006352709076569,36.0,0.0006352709076569,0.0,0.0006352709076569,0.0006352709076569,0.013916015625,Yes
3,39,5,0.6609,0.0211334832907402,0.6211690514134083,-0.0454976152532583,0,5,0.0,186.8468151537757,41.58658886427484,0.03271484375,0.013671875,2584.0,0.0011922678477623,36.0,0.0011922678477623,0.0,0.0011922678477623,0.0011922678477623,0.2073974609375,Yes
3,40,2,0.5728,0.0349627051298951,0.5070701143557971,-0.1595965523108695,0,2,0.0,191.5747907433785,105.3656624252686,0.047607421875,0.0849609375,2584.0,0.000174896274237,36.0,0.000174896274237,0.0,0.000174896274237,0.000174896274237,0.0223388671875,Yes
3,41,5,0.63396,0.0214200709616004,0.5936902665921912,-0.0729764000744754,0,5,0.0,173.34020476715662,26.83601220475605,0.041015625,0.00146484375,2584.0,0.0007315131122318,36.0,0.0007315131122318,0.0,0.0007315131122318,0.0007315131122318,0.0089111328125,Yes
3,42,5,0.6668000000000001,0.0210018469663979,0.6273165277031719,-0.0393501389634947,0,5,0.0,262.29817387302666,81.42512172958172,0.01904296875,0.0068359375,2584.0,0.0003379873845543,36.0,0.0003379873845543,0.0,0.0003379873845543,0.0003379873845543,0.005126953125,Yes
3,43,6,0.69125,0.018859705650466,0.6557937533771239,-0.0108729132895427,0,6,0.0,271.0368134911444,89.15339629291938,0.0244140625,0.021484375,2584.0,0.0002704449179487,36.0,0.0002704449179487,0.0,0.0002704449179487,0.0002704449179487,0.0069580078125,Yes
3,44,5,0.6906800000000002,0.0206700357038878,0.651820332876691,-0.0148463337899755,0,5,0.0,136.674920078842,147.24206762090273,0.03515625,0.004638671875,2584.0,0.0005456116571717,36.0,0.0005456116571717,0.0,0.0005456116571717,0.0005456116571717,0.0098876953125,Yes
3,45,6,0.6866833333333334,0.0189347561818647,0.6510859917114277,-0.0155806749552389,0,6,0.0,83.03080732922294,92.51957438767532,0.011474609375,0.00244140625,2584.0,0.0003465519205813,36.0,0.0003465519205813,0.0,0.0003465519205813,0.0003465519205813,0.0096435546875,Yes
3,46,5,0.68592,0.0207491873575809,0.6469115277677477,-0.0197551388989188,0,5,0.0,313.24482380011113,15.30944445787877,0.0263671875,0.00537109375,2584.0,0.0006117290631598,36.0,0.0006117290631598,0.0,0.0006117290631598,0.0006117290631598,0.012939453125,Yes
3,47,6,0.6808166666666665,0.0190156072594183,0.64506732501896,-0.0215993416477066,0,6,0.0,179.54346702266542,107.89845504148296,0.093505859375,0.222900390625,2584.0,0.0006179302191584,36.0,0.0006179302191584,0.0,0.0006179302191584,0.0006179302191584,0.0374755859375,Yes
3,48,5,0.6643399999999999,0.0211158799958703,0.6246421456077637,-0.0420245210589029,0,5,0.0,286.20706042685003,114.58660423242398,0.115234375,0.04736328125,2584.0,0.0030266544395435,36.0,0.0030266544395435,0.0,0.0030266544395435,0.0030266544395435,0.060791015625,Yes
3,49,6,0.6695666666666668,0.0191811981145889,0.6335060142112395,-0.0331606524554271,0,6,0.0,282.0235002630945,224.60403099546937,0.0732421875,0.007568359375,2584.0,0.000411338279797,36.0,0.000411338279797,0.0,0.000411338279797,0.000411338279797,0.0194091796875,Yes
3,50,5,0.6627799999999999,0.021122447490762,0.6230697987173673,-0.0435968679492992,0,5,0.0,206.64624839847204,185.8214703347045,0.033935546875,0.00634765625,2584.0,0.0002224360953657,36.0,0.0002224360953657,0.0,0.0002224360953657,0.0002224360953657,0.0145263671875,Yes
3,51,6,0.6402166666666667,0.0195674912517902,0.603429783113301,-0.0632368835533656,0,6,0.0,191.97784949385291,250.26387644283477,0.10546875,0.039794921875,2584.0,0.0002501310636967,36.0,0.0002501310636967,0.0,0.0002501310636967,0.0002501310636967,0.119140625,Yes
3,52,5,0.63708,0.0214726037545519,0.5967115049414423,-0.0699551617252243,0,5,0.0,160.9311951614889,193.31143587170897,0.0146484375,0.007568359375,2584.0,0.0005145457415579,36.0,0.0005145457415579,0.0,0.0005145457415579,0.0005145457415579,0.0164794921875,Yes
3,53,6,0.6315,0.0196754646987335,0.5945101263663809,-0.0721565403002857,0,6,0.0,294.3108733239222,360.1548191488407,0.02001953125,0.02587890625,2584.0,0.0001439929506407,36.0,0.0001439929506407,0.0,0.0001439929506407,0.0001439929506407,0.0810546875,Yes
3,54,4,0.6579999999999999,0.0236865460230063,0.613469293476748,-0.0531973731899186,0,4,0.0,231.0414717611648,295.44929073546143,0.007568359375,0.00244140625,2584.0,0.0001356143083153,36.0,0.0001356143083153,0.0,0.0001356143083153,0.0001356143083153,0.0054931640625,Yes
