subset,mean_HOP,hop_error
"(101, 116)",0.7692,0.042134470448790505
"(122, 123)",0.7691999999999999,0.042134470448790505
"(21, 36)",0.7666000000000001,0.04229946098947361
"(121, 122)",0.7666000000000001,0.04229946098947361
"(73, 79)",0.7662999999999998,0.04231835417404606
"(37, 45)",0.7659,0.04234349891069466
"(67, 68)",0.7622000000000001,0.04257360214968895
"(79, 93)",0.7617,0.04260435541115485
"(26, 27)",0.7606000000000002,0.042671728345592
"(25, 26)",0.7603,0.04269003513701997
"(36, 41)",0.7587,0.04278718382880556
"(64, 65)",0.7576999999999999,0.042847486507378706
"(116, 121)",0.7569,0.04289549976396125
"(151, 152)",0.7559999999999998,0.04294927240361589
"(65, 66)",0.755,0.04300872004605578
"(143, 144)",0.7536,0.04309141909939843
"(18, 31)",0.7513,0.04322595400913669
"(31, 32)",0.7493000000000001,0.04334160933790991
"(47, 48)",0.7493,0.04334160933790992
"(65, 77)",0.7482,0.04340469559851791
"(30, 31)",0.7475000000000002,0.04344464869233033
"(60, 61)",0.7395999999999999,0.043885286828275374
"(136, 143)",0.7382,0.04396143309765959
"(48, 49)",0.7367,0.044042378455301436
"(83, 84)",0.7268000000000001,0.0445602692990067
"(50, 51)",0.7176000000000002,0.045016690238177205
"(51, 58)",0.7145,0.0451652244542192
"(83, 96)",0.7107000000000001,0.045343743780151186
"(51, 52)",0.706,0.045559192266764345
"(39, 53)",0.7042999999999999,0.04563567792856813
"(52, 53)",0.7042,0.04564015337397542
"(142, 143)",0.6994,0.04585189636209172
"(53, 54)",0.6986999999999999,0.045882274355136324
"(144, 145)",0.6983999999999999,0.04589525465666358
"(145, 146)",0.6862,0.04640361623839245
"(86, 87)",0.6514,0.047652706114133754
"(40, 41)",0.6441,0.04787851188163642
"(129, 130)",0.6040999999999999,0.048904313715663165
"(130, 131)",0.5855999999999999,0.04926181482649619
"(112, 113)",0.5232,0.04994614699854234
"(81, 82)",0.5223,0.04995024624563927
"(61, 62)",0.5079,0.049993758610450564
"(62, 63)",0.5043,0.04999815096581072
"(82, 83)",0.5002,0.04999999599999984
"(113, 114)",0.4966,0.04999884398663633
"(119, 133)",0.4964,0.04999870398320341
"(113, 119)",0.49479999999999996,0.04999729592687989
